manufacturer,model,drive,cylinders,transmission,fuel
audi,a4 allroad premium plus,rwd,6,automatic,gas
volkswagen,golf gti s,fwd,4,automatic,gas
ford,freightliner m2,rwd,6,automatic,diesel
gmc,sierra 1500 4wd crew cab zlt,4wd,6,automatic,gas
toyota,tundra,4wd,6,automatic,gas
toyota,sienna awd,fwd,4,automatic,gas
dodge,Triumph TR 8,rwd,8,manual,gas
mazda,3i sv,fwd,4,automatic,gas
ram,grand cherokee,4wd,8,automatic,gas
ford,fusion se hybrid,fwd,6,automatic,gas
mercedes-benz,benz,4wd,4,automatic,gas
pontiac,grand am,fwd,6,automatic,gas
ram,3500,4wd,6,automatic,diesel
ram,1500 sport 4x4,4wd,4,automatic,gas
mitsubishi,outlander es sport,fwd,4,automatic,gas
chevrolet,corvette coupe,rwd,8,manual,gas
chevrolet,malibu,fwd,4,automatic,gas
bmw,x6,4wd,8,automatic,gas
ram,1500 quad cab harvest pickup,4wd,6,automatic,gas
hyundai,veloster,fwd,6,automatic,gas
ford,mustang gt,rwd,8,automatic,gas
honda,pilot touring sport,4wd,6,automatic,other
volvo,v70r,4wd,5,automatic,gas
chevrolet,colorado lt,4wd,5,automatic,gas
hyundai,tiburon gt,fwd,6,automatic,gas
lexus,is,4wd,6,automatic,gas
kia,k900 premium sedan 4d,rwd,6,automatic,gas
chrysler,200,fwd,4,automatic,gas
lexus,gx gx 460 premium,4wd,8,automatic,gas
nissan,altima 2.5 sr,fwd,6,automatic,other
jeep,compass,4wd,8,automatic,gas
gmc,yukon,rwd,8,automatic,gas
ram,1500 st 4dr quad cab st,4wd,8,automatic,gas
jeep,patriot sport 4x4 suv,4wd,8,automatic,gas
ford,HUMMER H2,4wd,8,automatic,gas
toyota,STERLING ACTERRA,4wd,6,automatic,diesel
toyota,tundra double cab sr5,rwd,8,automatic,gas
gmc,yukon xl,4wd,6,automatic,gas
ford,focus,fwd,6,automatic,gas
kia,sedona,fwd,6,automatic,gas
honda,pilot exl,fwd,4,automatic,gas
toyota,4runner 3rd row seat le,4wd,6,automatic,gas
hyundai,genesis 3.8l 4dr sedan,4wd,6,automatic,gas
infiniti,g37,rwd,6,automatic,gas
ford,mustang gt coupe 2d,rwd,8,automatic,other
dodge,charger r/t road and track,rwd,8,automatic,gas
ram,trailblazer ls,4wd,8,automatic,gas
honda,civic sedan,fwd,8,automatic,gas
bmw,1 series 2dr conv 128i,4wd,6,automatic,gas
nissan,quest,fwd,6,automatic,gas
toyota,"4runner trd off-road premium new bilstein-toytec lift*new 17""trd pro wheels*new 33"" yokohama geolander goo3 m/t tires*tyger rock sliders*tyger roof basket*leather*nav*back up cam",4wd,6,automatic,gas
ford,escape,4wd,4,automatic,gas
ford,e-350,fwd,6,automatic,gas
toyota,4runner,4wd,6,manual,gas
toyota,lancer evolution gsr turbo 5 speed front mount new clutch,4wd,4,automatic,other
ram,2500,fwd,8,automatic,diesel
chevrolet,avalanche,4wd,8,automatic,gas
chevrolet,impala,fwd,6,automatic,gas
toyota,camry,fwd,4,automatic,gas
toyota,yaris ia,fwd,4,automatic,gas
lincoln,continental select sedan,fwd,6,automatic,gas
subaru,outback,fwd,6,automatic,gas
chevrolet,trax lt sport utility,fwd,6,automatic,gas
ford,e350 van,rwd,10,automatic,gas
honda,civic dx,4wd,4,manual,gas
volkswagen,beetle 1.8t se,fwd,4,automatic,gas
subaru,legacy 2.5i limited,4wd,4,manual,gas
chevrolet,colorado z71 crew cab,4wd,4,automatic,diesel
ford,transit-350 xlt wagon,fwd,6,automatic,gas
chevrolet,1500 silverado,4wd,8,automatic,gas
mercedes-benz,gla-class,fwd,6,automatic,gas
toyota,sienna,4wd,8,automatic,gas
bmw,535i,rwd,4,automatic,gas
lincoln,mkx black label sport,4wd,6,automatic,gas
dodge,journey,fwd,4,automatic,gas
dodge,600,fwd,4,automatic,gas
mercedes-benz,sl500,rwd,8,automatic,gas
mercedes-benz,benz gl550 4matic,4wd,8,automatic,gas
ford,f-250 4x4 super duty 5.4l triton v8 ext cab short bed fabtech lift one owner,4wd,8,automatic,gas
volkswagen,cc,fwd,8,automatic,gas
ram,2500 crew cab tradesman,4wd,6,automatic,gas
nissan,rogue,fwd,4,automatic,gas
saturn,sky,fwd,4,manual,gas
toyota,tacoma access cab pickup,4wd,8,automatic,other
dodge,charger sxt automatic,4wd,4,automatic,gas
mitsubishi,eclipse cross sel,4wd,3,automatic,gas
lexus,gs 350 sedan 4d,rwd,8,automatic,other
ford,Scion tC,fwd,4,automatic,gas
chrysler,pt cruiser,fwd,4,automatic,gas
mercedes-benz,gle-class,fwd,6,automatic,gas
ford,f150 supercrew cab lariat,4wd,4,automatic,other
mercedes-benz,benz c250,fwd,8,automatic,gas
toyota,sequoia sr5 platinum,4wd,8,automatic,gas
buick,encore,fwd,4,automatic,gas
ford,fusion se 4dr sedan,rwd,4,automatic,gas
jeep,renegade upland edition,4wd,4,automatic,gas
kia,2001 PT Cruiser,4wd,8,automatic,gas
nissan,altima 2.5 s sedan,fwd,4,automatic,gas
chrysler,town and country,fwd,8,automatic,gas
chrysler,200 s,fwd,6,automatic,gas
toyota,liteace,4wd,4,automatic,diesel
ram,1500 big horn quad cab 4x4,rwd,8,automatic,gas
ford,f350 dually,rwd,8,manual,diesel
chevrolet,express 3500 15 pass,rwd,8,automatic,gas
cadillac,cts,rwd,6,automatic,gas
gmc,acadia limited sport utility,fwd,6,automatic,gas
jeep,commander limited 4x4,4wd,8,automatic,gas
toyota,tacoma 4x4,4wd,6,manual,gas
chevrolet,camaro lt coupe 2d,rwd,8,automatic,other
ford,f250,4wd,4,automatic,diesel
dodge,journey sxt awd,4wd,6,automatic,gas
kia,soul ev plus,fwd,4,automatic,electric
bmw,4 series 430i convertible 2d,rwd,4,automatic,gas
nissan,maxima,fwd,8,automatic,gas
dodge,durango r/t sport utility,fwd,4,automatic,other
lexus,rx330,4wd,4,automatic,gas
bmw,"title, new beetle",rwd,4,automatic,gas
chevrolet,impala ltz,fwd,6,automatic,gas
lexus,rx 450h,4wd,6,automatic,hybrid
jeep,Other MV-1,fwd,8,automatic,gas
nissan,frontier crew cab,4wd,6,automatic,gas
bmw,328xi xdrive awd,rwd,4,automatic,gas
dodge,journey se,fwd,6,automatic,gas
nissan,altima 2.5 s,fwd,8,automatic,gas
chrysler,300,rwd,6,automatic,gas
mercury,grand marquis,rwd,8,automatic,gas
ford,e150,rwd,8,automatic,gas
volkswagen,wrangler,fwd,5,automatic,gas
ford,expedition,4wd,8,automatic,gas
chevrolet,cruze lt,fwd,4,automatic,gas
honda,accord lx,fwd,4,automatic,gas
jeep,cherokee,4wd,4,automatic,gas
toyota,prius v hybrid,rwd,4,automatic,hybrid
ford,ranger super cab xlt pickup,rwd,6,automatic,gas
cadillac,cts 2.0 luxury sedan 4d,4wd,6,automatic,other
subaru,forester 2.5x limited,4wd,6,automatic,gas
jeep,liberty,4wd,6,automatic,gas
volkswagen,jetta gls,fwd,4,automatic,gas
volkswagen,passat se,fwd,4,automatic,gas
dodge,charger sxt,4wd,6,automatic,gas
pontiac,vibe,4wd,6,automatic,gas
ford,ranger 4dr supercab 4.0l xlt 4wd,4wd,6,manual,gas
jeep,wrangler,4wd,8,automatic,gas
ford,transit cutaway,rwd,6,automatic,gas
ford,f150 super cab xlt pickup,fwd,8,automatic,gas
kia,soul + wagon 4d,fwd,8,automatic,gas
mercedes-benz,benz c320,fwd,6,automatic,gas
jeep,wrangler unlimited all new,4wd,6,automatic,gas
chevrolet,colorado crew cab work,4wd,6,automatic,gas
nissan,altima,fwd,4,automatic,gas
porsche,panamera sedan 4d,fwd,6,automatic,gas
gmc,savana cutaway,rwd,8,automatic,gas
bmw,528xi awd turbo nav,4wd,4,automatic,gas
ford,f150 lariat 4wd,rwd,4,automatic,gas
hyundai,sonata se sedan 4d,fwd,4,automatic,gas
toyota,fj40,4wd,4,manual,gas
lexus,gs 200t sedan 4d,rwd,6,automatic,other
toyota,sequoia,4wd,4,automatic,other
toyota,rav4 limited,4wd,6,automatic,gas
mercedes-benz,cls,rwd,8,automatic,gas
dodge,durango slt,fwd,8,automatic,gas
jaguar,xf 20d premium sedan 4d,rwd,8,automatic,other
ford,silverado 1500 double,fwd,8,automatic,gas
ram,INTERNATIONAL 4700,rwd,8,manual,diesel
ford,expedition el,4wd,6,automatic,gas
kia,optima lx 4dr sedan,fwd,4,automatic,gas
chevrolet,cobalt,fwd,4,automatic,gas
chevrolet,tahoe,4wd,8,automatic,other
hyundai,tucson,fwd,6,automatic,gas
mitsubishi,outlander gt sport,4wd,6,automatic,gas
honda,odyssey ex-l,4wd,6,automatic,gas
chevrolet,silverado 1500 lt z71,4wd,4,automatic,gas
dodge,dart,fwd,6,automatic,gas
jeep,wrangler rubicon sport,4wd,6,automatic,gas
jeep,grand cherokee overland 4x4,4wd,8,automatic,gas
audi,a4,4wd,4,automatic,gas
ram,promaster cargo van,fwd,6,automatic,gas
toyota,avalon xls,4wd,6,automatic,gas
ford,fusion,rwd,8,automatic,gas
ford,expedition xlt,rwd,8,automatic,gas
toyota,avalon,4wd,6,automatic,gas
ram,1500 slt crew cab 5'7 box,4wd,8,automatic,gas
chevrolet,c10,rwd,8,automatic,gas
infiniti,fusion se,fwd,6,automatic,gas
cadillac,srx,fwd,4,automatic,gas
fiat,124 spider lusso,rwd,6,automatic,other
kia,soul ! wagon 4d,fwd,4,automatic,other
mercedes-benz,benz cla250,4wd,4,automatic,other
chevrolet,other pickups,rwd,6,manual,gas
nissan,Kenworth T300 2000,rwd,6,manual,diesel
ford,f150 xlt xtr 4x4 1/2 ton,4wd,6,automatic,gas
fiat,500 abarth hatchback 2d,fwd,8,automatic,gas
volkswagen,passat tdi sel,fwd,4,automatic,diesel
chevrolet,impala limited lt,fwd,6,automatic,gas
honda,cr-v ex l w/navi 4dr suv,4wd,4,automatic,gas
ram,pickup 1500,4wd,6,automatic,gas
toyota,scion xa,fwd,4,automatic,gas
infiniti,g35,rwd,8,automatic,gas
ford,f-450,rwd,8,automatic,diesel
infiniti,qx50 sport utility 4d,4wd,6,automatic,gas
toyota,Hummer H2,4wd,8,automatic,gas
acura,mdx sh-awd w/technology,4wd,6,automatic,gas
chevrolet,trax,fwd,8,automatic,gas
mitsubishi,mini-cab,4wd,3,manual,gas
mercedes-benz,cls 550,4wd,8,automatic,gas
nissan,titan crew cab,4wd,8,automatic,gas
cadillac,cts luxury awd,rwd,6,automatic,gas
nissan,titan,4wd,4,automatic,gas
mercedes-benz,cla-class cla 250,fwd,8,automatic,other
toyota,tundra crewmax sr5 pickup,rwd,8,automatic,gas
jaguar,xe 35t r-sport sedan 4d,rwd,8,automatic,other
gmc,sierra 1500 crew cab slt,fwd,8,automatic,gas
audi,allroad,4wd,4,automatic,gas
subaru,outback awd 2.5i premium,4wd,4,automatic,gas
chevrolet,aveo 5,rwd,4,automatic,gas
hyundai,veracruz,4wd,6,automatic,gas
volkswagen,STERLING L8500,rwd,6,automatic,diesel
chevrolet,belair,4wd,8,automatic,gas
ford,mustang 5.0,4wd,8,automatic,gas
chevrolet,colorado z71,4wd,4,automatic,gas
subaru,forester,fwd,4,automatic,gas
toyota,fj cruiser,4wd,6,automatic,gas
infiniti,q50 hybrid,rwd,6,automatic,hybrid
buick,century,fwd,6,automatic,gas
ford,silverado 1500,fwd,4,automatic,gas
gmc,sierra 1500 double cab,rwd,8,automatic,gas
volkswagen,beetle,fwd,5,automatic,gas
ford,fusion sel,fwd,4,automatic,gas
kia,sorento sx sport utility 4d,fwd,6,automatic,gas
gmc,sierra 2500 slt,4wd,8,automatic,other
subaru,baja,4wd,4,automatic,gas
ford,f150 xlt 4x4 half ton gas,4wd,6,automatic,gas
dodge,Isuzu,fwd,6,automatic,gas
ford,c-max hybrid se wagon 4d,fwd,6,automatic,hybrid
acura,plymouth road runner,4wd,8,automatic,gas
chevrolet,malibu ltz,fwd,6,automatic,gas
chevrolet,tahoe lt sport utility,4wd,8,automatic,gas
nissan,frontier,rwd,4,automatic,gas
chevrolet,sonic lt,4wd,4,automatic,gas
dodge,challenger r/t,rwd,8,automatic,other
infiniti,qx50 sensory sport,rwd,8,automatic,other
cadillac,eldorado,fwd,8,automatic,gas
toyota,avalon touring sedan 4d,fwd,6,automatic,other
chevrolet,silverado 2500 ltz 4x4,4wd,8,automatic,gas
volkswagen,jetta tsi,fwd,4,automatic,gas
honda,accord sdn lx,fwd,4,automatic,gas
nissan,titan single cab sv,4wd,8,automatic,gas
jeep,wrangler unlimited sport,4wd,6,automatic,gas
acura,ilx special edition sedan,fwd,6,automatic,gas
ford,f150 regular cab xlt pickup,fwd,6,automatic,gas
chevrolet,lifted silverado 2500,4wd,4,automatic,diesel
lincoln,mkx base awd! awd,4wd,6,automatic,gas
gmc,sierra 1500 crew cab sl,fwd,8,automatic,gas
ford,f150 xlt 4x4 1/2 ton gas,4wd,6,automatic,gas
cadillac,escalade 4x4,4wd,8,automatic,gas
ford,transit connect,fwd,4,automatic,gas
toyota,tacoma double cab pickup,4wd,6,automatic,gas
cadillac,xt4 sport suv 4d,4wd,8,automatic,gas
ford,super duty f-250,4wd,8,automatic,gas
lincoln,scion tc,fwd,4,manual,gas
dodge,grand caravan,fwd,6,automatic,gas
acura,rdx sh-awd advance pkg,4wd,4,automatic,other
volkswagen,jetta,rwd,4,automatic,gas
hyundai,kona electric ultimate,fwd,6,automatic,electric
toyota,corolla hatchback,fwd,4,manual,gas
chevrolet,silverado 2500,4wd,8,automatic,gas
toyota,Foed expedition,fwd,6,automatic,gas
ford,f650,rwd,10,automatic,gas
mercedes-benz,s550,rwd,8,automatic,gas
ram,2500 4x4,4wd,6,automatic,diesel
mini,convertible cooper s 2d,fwd,6,automatic,gas
dodge,grand caravan sxt,4wd,6,automatic,gas
gmc,sierra 2500hd available wifi,4wd,8,automatic,diesel
ford,f-350 super duty lariat,4wd,8,automatic,diesel
toyota,renault caraville,4wd,4,manual,gas
nissan,rogue sv,rwd,6,automatic,gas
chevrolet,silverado lt,rwd,8,automatic,gas
mercedes-benz,benz sl500,rwd,8,automatic,gas
ford,f250 xlt,4wd,8,automatic,diesel
chevrolet,sonic,fwd,6,automatic,gas
gmc,tundra,rwd,8,manual,gas
infiniti,g g37x sedan 4d,rwd,6,automatic,gas
ford,f-250sd,4wd,6,automatic,gas
honda,civic ex fwd gas sedan,fwd,4,automatic,gas
chevrolet,tahoe lt sport utilit,4wd,8,automatic,gas
ford,f-150 xl,4wd,8,automatic,gas
chevrolet,cruze 1lt auto,fwd,4,automatic,gas
mini,cooper hardtop,fwd,4,manual,gas
ford,f150 king ranch,4wd,8,automatic,gas
mercedes-benz,m-class,4wd,6,automatic,gas
jeep,wrangler rubicon unlimited,4wd,6,automatic,gas
kia,spectra sx,fwd,4,automatic,gas
ford,expedition xlt sport,4wd,6,automatic,gas
ford,expedition max,fwd,6,automatic,gas
toyota,tundra 4wd,4wd,6,automatic,gas
infiniti,g37 sedan journey,rwd,6,automatic,gas
bmw,x3 xdrive35i,4wd,6,automatic,gas
kia,forte lx,fwd,4,automatic,gas
tesla,model 3 standard range,rwd,4,automatic,electric
subaru,impreza wrx sedan 4d,rwd,8,automatic,gas
mini,countryman cooper s,fwd,8,automatic,gas
chevrolet,c30 1 ton,4wd,8,automatic,diesel
buick,lacrosse,fwd,8,automatic,gas
ford,suzuki sidekick sport,4wd,4,manual,gas
jeep,wrangler unlmited sahara,4wd,6,automatic,gas
toyota,tundra crewmax trd pro,fwd,6,automatic,other
chevrolet,silverado 1500 lt,rwd,4,automatic,gas
dodge,coronet 2dr sedan,fwd,4,manual,gas
chevrolet,All,4wd,8,automatic,other
buick,regal premium,4wd,8,automatic,gas
dodge,durango,fwd,4,automatic,gas
ford,econoline cargo van,rwd,8,automatic,other
chrysler,pacifica touring l,fwd,6,automatic,gas
jeep,cherokee 80th anniversary,4wd,6,automatic,gas
ford,taurus limited,fwd,6,automatic,other
mazda,rx8,rwd,4,manual,gas
pontiac,solstice,fwd,4,manual,gas
cadillac,ats,rwd,4,automatic,gas
bmw,x3,4wd,4,automatic,gas
jeep,liberty sport 4x4,4wd,6,automatic,gas
toyota,sienna limited awd,4wd,6,automatic,gas
nissan,frontier crew cab pro-4x,4wd,6,automatic,gas
mazda,2,fwd,4,manual,gas
jeep,wrangler unlimited sport s,4wd,6,automatic,other
ford,model t,rwd,4,manual,gas
toyota,sienna se wheelchair han,fwd,6,automatic,gas
saturn,ion,fwd,4,automatic,gas
bmw,m550,4wd,8,automatic,gas
ram,c/v tradesman,4wd,6,automatic,other
infiniti,fx35,4wd,6,manual,gas
audi,sq5 prestige sport utility,rwd,4,automatic,other
volkswagen,gti,fwd,4,automatic,gas
jeep,renegade latitude,fwd,6,automatic,gas
audi,a3 premium plus,4wd,4,automatic,gas
chevrolet,trailblazer ls,rwd,6,automatic,gas
ford,f250 super duty 4x4,4wd,8,automatic,diesel
ram,2500 tradesman 4x4,4wd,8,automatic,gas
bmw,650xi xdrive gran coupe,fwd,6,automatic,gas
chevrolet,colorado work truck,fwd,4,automatic,gas
saturn,aura,rwd,6,automatic,gas
gmc,tc5500,rwd,6,automatic,diesel
saturn,ion level 2,fwd,4,automatic,gas
chevrolet,Scion iM Hatchback 4D,fwd,8,automatic,gas
kia,forte ex,4wd,4,automatic,gas
porsche,panamera 4s sedan 4d,4wd,8,automatic,gas
porsche,macan,4wd,6,automatic,gas
ford,e250,fwd,4,automatic,gas
mercedes-benz,benz sl 500,rwd,8,automatic,gas
bmw,3 series 330i xdrive sedan,rwd,8,automatic,other
ram,1500 quad cab express pickup,4wd,6,automatic,other
jeep,renegade limited sport,4wd,6,automatic,gas
gmc,sierra 1500,4wd,8,automatic,gas
honda,civic si,fwd,4,manual,gas
nissan,frontier king cab sv,fwd,4,automatic,other
jeep,wrangler sahara,4wd,6,automatic,gas
mercedes-benz,gls 450 4matic,4wd,6,automatic,gas
ram,1500 laramieextended cab,4wd,6,automatic,diesel
toyota,"tacoma sr v6, , lifted,",4wd,6,automatic,gas
nissan,armada,rwd,8,automatic,gas
audi,q5 premium sport utility 4d,fwd,8,automatic,gas
ford,f-350 utility truck,4wd,8,automatic,diesel
buick,encore gx select sport,fwd,8,automatic,gas
jeep,j10,4wd,8,manual,gas
lincoln,mkz sedan 4d,fwd,8,automatic,gas
cadillac,escalade,fwd,8,automatic,gas
hyundai,genesis,4wd,5,automatic,gas
audi,Freightliner M Line Walk-in Van,rwd,4,automatic,diesel
toyota,500,4wd,8,automatic,gas
chevrolet,blazer,4wd,6,automatic,gas
dodge,stratus,rwd,4,automatic,gas
ford,f-250 sd,rwd,8,automatic,gas
lexus,is 300,rwd,6,automatic,gas
